# G_1 DFT r2SCAN+rVV10
# Columns: p [GPa]   V/V_0 [-]   Delta [A]
0.000000 1.000000 0.002765
0.100000 0.998328 0.003346
0.200000 0.996735 0.004187
0.300000 0.995126 0.005306
0.400000 0.993750 0.006478
0.500000 0.992101 0.006837
0.600000 0.990344 0.007222
0.700000 0.988561 0.007674
0.800000 0.986821 0.008136
0.900000 0.985007 0.008655
1.000000 0.983222 0.009672
1.100000 0.981410 0.013239
1.200000 0.769239 2.636131
1.300000 0.762415 2.673581
1.400000 0.755352 2.712338
1.500000 0.748930 2.747717
1.600000 0.743792 2.774325
1.700000 0.737243 2.810214
1.800000 0.732858 2.832265
1.900000 0.727566 2.859721
2.000000 0.722229 2.877714
